Combined_Key,Country_Region,Province_State,Admin2,iso2,iso3,FIPS,Lat,Long,Population_Count
"Dallas, Texas, US",United States,Texas,Dallas,US,USA,48113,32.76670599,-96.7779605,2635516
"Spalding, Georgia, US",United States,Georgia,Spalding,US,USA,13255,33.26310031,-84.28013991,66703
"Jasper, Missouri, US",United States,Missouri,Jasper,US,USA,29097,37.20351921,-94.34050458,121328
"Hamilton, Nebraska, US",United States,Nebraska,Hamilton,US,USA,31081,40.87349452,-98.02099117,9324
"Sutter, California, US",United States,California,Sutter,US,USA,6101,39.03417539,-121.6945899,96971
"Adams, Illinois, US",United States,Illinois,Adams,US,USA,17001,39.98815591,-91.18786813,65435
"Winchester, Virginia, US",United States,Virginia,Winchester,US,USA,51840,39.17054517,-78.17325058,28078
"Richmond, Virginia, US",United States,Virginia,Richmond,US,USA,51159,37.937575,-76.72920628,9023
"Long, Georgia, US",United States,Georgia,Long,US,USA,13183,31.75218791,-81.74952375,19559
"Garfield, Montana, US",United States,Montana,Garfield,US,USA,30033,47.27545948,-107.0002351,1258
"Russell, Kansas, US",United States,Kansas,Russell,US,USA,20167,38.91462787,-98.76254297,6856
"Webster, Missouri, US",United States,Missouri,Webster,US,USA,29225,37.2813734,-92.876329,39592
"Ford, Illinois, US",United States,Illinois,Ford,US,USA,17053,40.59706922,-88.22350769,12961
"Calhoun, Texas, US",United States,Texas,Calhoun,US,USA,48057,28.47048236,-96.61633945,21290
"Marion, Iowa, US",United States,Iowa,Marion,US,USA,19125,41.33445101,-93.09934783,33253
"Hamlin, South Dakota, US",United States,South Dakota,Hamlin,US,USA,46057,44.67385954,-97.18829593,6164
"Grand Traverse, Michigan, US",United States,Michigan,Grand Traverse,US,USA,26055,44.69565625,-85.55585247,93088
"Lyon, Iowa, US",United States,Iowa,Lyon,US,USA,19119,43.38107862,-96.20926845,11755
"Beauregard, Louisiana, US",United States,Louisiana,Beauregard,US,USA,22011,30.64836518,-93.34173616,37497
"Madison, Idaho, US",United States,Idaho,Madison,US,USA,16065,43.78141028,-111.6538474,39907
"Custer, Nebraska, US",United States,Nebraska,Custer,US,USA,31041,41.39374521,-99.72805369,10777
"Cavalier, North Dakota, US",United States,North Dakota,Cavalier,US,USA,38019,48.77286211,-98.46685243,3762
"Texas, Oklahoma, US",United States,Oklahoma,Texas,US,USA,40139,36.74777635,-101.4889765,19983
"Solano, California, US",United States,California,Solano,US,USA,6095,38.26827353,-121.9357113,447643
"Adams, Mississippi, US",United States,Mississippi,Adams,US,USA,28001,31.47669768,-91.35326037,30693
"Runnels, Texas, US",United States,Texas,Runnels,US,USA,48399,31.8314342,-99.97616148,10264
"Cherokee, Texas, US",United States,Texas,Cherokee,US,USA,48073,31.837258,-95.16559897,52646
